1;1;1;Kawasaki;10,78|9,85|9,91
2;2;1;Smith;10,08|10,22|10,27
3;3;1;Carlos;9,89|10,85|10,91
4;4;1;Sergey;10,55|12,15|10,88
5;5;1;Jo�o;11,78|9,15|9,91
6;1;2;Yamaha;20,15|19,66|19,43
7;2;2;John;21,15|19,16|21,43
8;5;2;Jos�;19,55|19,96|20,01
9;2;3;Albert;210|212|214|215|217
10;2;3;Blake;207|209|212|215|218
11;4;3;Alexei;211|213|214|216|218
12;4;3;Maxim;211|214|215|216|216
13;2;4;Christopher;1,95|1,97|2,01|2,05|2,07
14;2;4;Jeffrey;1,93|1,96|2,00|2,04|2,05
15;3;4;Antonio;1,93|1,95|1,98|2,02|2,04
16;4;4;Nikolay;1,94|1,96|1,99|2,03|2,06
17;5;4;Marcos;1,92|1,95|1,97|2,00|2,04
18;1;5;Honda;8,9|9,3|9,0|9,1
19;2;5;Jeremy;9,3|9,3|9,2|9,2
20;4;5;Stanislav;9,6|9,1|9,1|9,4
